Variable,Is_Environmental,Ridge_C_selected,Ridge_Coefficient,Plain_Logistic_Coefficient,Shrinkage_Ratio(Ridge/Plain)
CO,True,0.00428,0.0991,0.0997,0.994
NO2,True,0.00428,-0.1652,-0.1662,0.994
O3,True,0.00428,-0.0318,-0.0326,0.976
PM10,True,0.00428,0.0864,0.0858,1.006
PM2_5,True,0.00428,-0.0504,-0.0498,1.012
SO2,True,0.00428,0.0011,0.001,1.097
green_1,True,0.00428,-0.1258,-0.1269,0.992
region,False,0.00428,0.0698,0.0705,0.99
BE3_31_3.0,False,0.00428,0.0031,0.0031,1.001
tins_20.0,False,0.00428,-0.0079,-0.0078,1.015
tins_30.0,False,0.00428,0.0363,0.0366,0.991
npins_2.0,False,0.00428,-0.0179,-0.018,0.995
EC1_1_2.0,False,0.00428,0.0033,0.0032,1.033
BE3_31_2.0,False,0.00428,-0.0062,-0.0062,1.009
BE3_31_7.0,False,0.00428,0.0312,0.0313,0.997
BE3_31_4.0,False,0.00428,0.0146,0.0147,0.993
BE3_31_5.0,False,0.00428,0.0069,0.0069,0.994
BE3_31_6.0,False,0.00428,-0.0198,-0.0196,1.008
BD1_11_5.0,False,0.00428,0.0408,0.041,0.996
BE3_31_8.0,False,0.00428,-0.0033,-0.0031,1.06
pa_aerobic_1.0,False,0.00428,-0.0956,-0.0954,1.002
BD1_11_6.0,False,0.00428,0.0546,0.0547,0.999
dr_month_1.0,False,0.00428,0.0097,0.0102,0.951
BD1_11_4.0,False,0.00428,-0.0129,-0.0127,1.023
BD1_11_3.0,False,0.00428,-0.0641,-0.064,1.002
BD1_11_2.0,False,0.00428,0.0127,0.0133,0.951
age,False,0.00428,0.2652,0.2657,0.998
sm_presnt_1.0,False,0.00428,0.0811,0.0811,1.0
ho_incm_4.0,False,0.00428,-0.0291,-0.0286,1.015
ho_incm_3.0,False,0.00428,-0.0163,-0.0159,1.022
ho_incm_2.0,False,0.00428,-0.002,-0.0017,1.163
marri_1_2.0,False,0.00428,0.0194,0.0193,1.003
edu_4.0,False,0.00428,-0.2476,-0.2477,1.0
edu_3.0,False,0.00428,-0.1563,-0.1565,0.998
edu_2.0,False,0.00428,-0.0505,-0.0505,0.999
sex_2.0,False,0.00428,-0.3444,-0.3436,1.002
mh_stress_1.0,False,0.00428,0.0326,0.0326,1.001
