Model,Condition,AUC,Precision,Recall,F1,Brier
DeepMLP,A. Original Only,0.6623,0.0,0.0,0.0,0.1911
DeepMLP,B. SMOTE Only,0.6473,0.3241,0.1015,0.1545,0.207
DeepMLP,C. Class Weight Only,0.6664,0.3686,0.6868,0.4797,0.227
DeepMLP,D. SMOTE + Class Weight,0.6517,0.3606,0.7158,0.4796,0.2512
Random_Forest,A. Original Only,0.6628,0.3687,0.6235,0.4634,0.2252
Random_Forest,B. SMOTE Only,0.6535,0.3823,0.3762,0.3793,0.2111
Random_Forest,C. Class Weight Only,0.6623,0.3692,0.5947,0.4556,0.2235
Random_Forest,D. SMOTE + Class Weight,0.6535,0.3823,0.3762,0.3793,0.2111
XGBoost,A. Original Only,0.6662,0.364,0.6812,0.4745,0.2289
XGBoost,B. SMOTE Only,0.6421,0.3518,0.7936,0.4875,0.2764
XGBoost,C. Class Weight Only,0.6591,0.3663,0.6673,0.473,0.2287
XGBoost,D. SMOTE + Class Weight,0.6421,0.3518,0.7936,0.4875,0.2764
