Region,Model,N,AUC
1.0,DeepMLP,3919,0.6663
1.0,Random_Forest,3919,0.6727
1.0,XGBoost,3919,0.6749
2.0,DeepMLP,1240,0.6404
2.0,Random_Forest,1240,0.647
2.0,XGBoost,1240,0.6417
3.0,DeepMLP,845,0.6447
3.0,Random_Forest,845,0.6541
3.0,XGBoost,845,0.6548
4.0,DeepMLP,1148,0.6524
4.0,Random_Forest,1148,0.6542
4.0,XGBoost,1148,0.6558
5.0,DeepMLP,595,0.6686
5.0,Random_Forest,595,0.6683
5.0,XGBoost,595,0.6833
6.0,DeepMLP,595,0.6738
6.0,Random_Forest,595,0.6782
6.0,XGBoost,595,0.6826
7.0,DeepMLP,397,0.5905
7.0,Random_Forest,397,0.5853
7.0,XGBoost,397,0.5869
8.0,DeepMLP,391,0.6674
8.0,Random_Forest,391,0.7099
8.0,XGBoost,391,0.717
9.0,DeepMLP,5055,0.6577
9.0,Random_Forest,5055,0.6636
9.0,XGBoost,5055,0.6621
10.0,DeepMLP,756,0.6194
10.0,Random_Forest,756,0.6451
10.0,XGBoost,756,0.6377
11.0,DeepMLP,635,0.6758
11.0,Random_Forest,635,0.6587
11.0,XGBoost,635,0.6607
12.0,DeepMLP,685,0.641
12.0,Random_Forest,685,0.6479
12.0,XGBoost,685,0.6463
13.0,DeepMLP,585,0.6711
13.0,Random_Forest,585,0.6704
13.0,XGBoost,585,0.6827
14.0,DeepMLP,615,0.6526
14.0,Random_Forest,615,0.6887
14.0,XGBoost,615,0.6717
15.0,DeepMLP,979,0.6263
15.0,Random_Forest,979,0.6449
15.0,XGBoost,979,0.6428
16.0,DeepMLP,1177,0.6324
16.0,Random_Forest,1177,0.633
16.0,XGBoost,1177,0.6369
17.0,DeepMLP,418,0.6913
17.0,Random_Forest,418,0.6632
17.0,XGBoost,418,0.669
