Model,Variable,Mean_abs_SHAP
DeepMLP,sex,0.0771
DeepMLP,age,0.0682
DeepMLP,edu,0.046
DeepMLP,BD1_11,0.0151
DeepMLP,ho_incm,0.0133
DeepMLP,BE3_31,0.0105
DeepMLP,region,0.0095
DeepMLP,PM2_5,0.0067
DeepMLP,green_1,0.0067
DeepMLP,sm_presnt,0.0065
DeepMLP,CO,0.006
DeepMLP,pa_aerobic,0.006
DeepMLP,EC1_1,0.0046
DeepMLP,PM10,0.004
DeepMLP,NO2,0.0038
DeepMLP,O3,0.0034
DeepMLP,mh_stress,0.003
DeepMLP,SO2,0.0029
DeepMLP,dr_month,0.0023
DeepMLP,tins,0.0022
DeepMLP,npins,0.0011
DeepMLP,marri_1,0.0007
Random_Forest,sex,0.0584
Random_Forest,age,0.0492
Random_Forest,edu,0.0369
Random_Forest,BD1_11,0.0154
Random_Forest,pa_aerobic,0.0136
Random_Forest,sm_presnt,0.0114
Random_Forest,ho_incm,0.0096
Random_Forest,npins,0.0062
Random_Forest,region,0.0054
Random_Forest,BE3_31,0.0054
Random_Forest,PM10,0.0043
Random_Forest,tins,0.0036
Random_Forest,PM2_5,0.0033
Random_Forest,NO2,0.0033
Random_Forest,dr_month,0.0027
Random_Forest,green_1,0.0026
Random_Forest,CO,0.002
Random_Forest,EC1_1,0.0018
Random_Forest,O3,0.0017
Random_Forest,SO2,0.0015
Random_Forest,marri_1,0.001
Random_Forest,mh_stress,0.001
XGBoost,sex,0.3278
XGBoost,age,0.2903
XGBoost,edu,0.1644
XGBoost,BD1_11,0.0856
XGBoost,pa_aerobic,0.0755
XGBoost,ho_incm,0.0561
XGBoost,region,0.0466
XGBoost,sm_presnt,0.0412
XGBoost,BE3_31,0.0341
XGBoost,PM10,0.0339
XGBoost,NO2,0.0298
XGBoost,PM2_5,0.0239
XGBoost,green_1,0.0211
XGBoost,CO,0.0197
XGBoost,npins,0.0193
XGBoost,EC1_1,0.0179
XGBoost,dr_month,0.0158
XGBoost,O3,0.0152
XGBoost,mh_stress,0.0152
XGBoost,tins,0.0134
XGBoost,marri_1,0.0106
XGBoost,SO2,0.0084
